configuration name,list of bits per value in A bus,list of bits per value in D bus,list of bits per value in B bus,list of offsets in A bus,list of offsets in D bus,list of offsets in B bus,max number of accumulations,initial window,
int2,"2,2",2,"2,2","12,24",0,"0,6",30,2,
int4,4,4,"4,4",0,22,"0,11",19,4,
int5,5,5,"5,5",24,0,"0,12",8,3,
int7_22,7,7,7,22,0,0,527,9,
int7_23,7,7,7,23,0,0,1055,10,
int8_18,8,8,8,18,0,0,7,3,
int8_19,8,8,8,19,0,0,15,4,
int8_20,8,8,8,20,0,0,31,5,
int8_21,8,8,8,21,0,0,64,6,
,,,,,,,,,
