name,A_words,B_words,A_phases,B_phases,A_window,max_number_of_accumulation,reason_for_stopping_the_accumulation
word width: 2 | phase: 2 | bus A window: 0,15,1,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]",0,0,-1,Overflow in bus O: case 2 - complete overflow
word width: 2 | phase: 3 | bus A window: 1,10,1,"[0, 3, 6, 9, 12, 15, 18, 21, 24, 27]",0,1,-1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 4 | bus A window: 2,8,1,"[0, 4, 8, 12, 16, 20, 24, 28]",0,2,0,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 5 | bus A window: 3,6,1,"[0, 5, 10, 15, 20, 25]",0,3,2,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 6 | bus A window: 4,5,1,"[0, 6, 12, 18, 24]",0,4,6,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 7 | bus A window: 5,5,1,"[0, 7, 14, 21, 28]",0,5,13,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 8 | bus A window: 6,4,1,"[0, 8, 16, 24]",0,6,27,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 9 | bus A window: 7,4,1,"[0, 9, 18, 27]",0,7,55,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 10 | bus A window: 8,3,1,"[0, 10, 20]",0,8,112,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 11 | bus A window: 9,3,1,"[0, 11, 22]",0,9,226,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 12 | bus A window: 10,3,1,"[0, 12, 24]",0,10,454,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 13 | bus A window: 11,3,1,"[0, 13, 26]",0,11,909,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 14 | bus A window: 12,3,1,"[0, 14, 28]",0,12,1819,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 15 | bus A window: 13,2,1,"[0, 15]",0,13,3639,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 16 | bus A window: 14,2,1,"[0, 16]",0,14,7280,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 2 | phase: 17 | bus A window: 15,2,1,"[0, 17]",0,15,+10000,more than 10000 accumulations
word width: 2 | phase: 18 | bus A window: 16,2,1,"[0, 18]",0,16,+10000,more than 10000 accumulations
word width: 2 | phase: 19 | bus A window: 17,2,1,"[0, 19]",0,17,+10000,more than 10000 accumulations
word width: 2 | phase: 20 | bus A window: 18,2,1,"[0, 20]",0,18,+10000,more than 10000 accumulations
word width: 2 | phase: 21 | bus A window: 19,2,1,"[0, 21]",0,19,+10000,more than 10000 accumulations
word width: 2 | phase: 22 | bus A window: 20,2,1,"[0, 22]",0,20,+10000,more than 10000 accumulations
word width: 2 | phase: 23 | bus A window: 21,2,1,"[0, 23]",0,21,+10000,more than 10000 accumulations
word width: 2 | phase: 24 | bus A window: 22,2,1,"[0, 24]",0,22,+10000,more than 10000 accumulations
word width: 2 | phase: 25 | bus A window: 23,2,1,"[0, 25]",0,23,+10000,more than 10000 accumulations
word width: 2 | phase: 26 | bus A window: 24,2,1,"[0, 26]",0,24,+10000,more than 10000 accumulations
word width: 2 | phase: 27 | bus A window: 25,2,1,"[0, 27]",0,25,+10000,more than 10000 accumulations
word width: 2 | phase: 28 | bus A window: 26,2,1,"[0, 28]",0,26,+10000,more than 10000 accumulations
