name,width,A_words,B_words,total_words,A_phases,B_phases,A_window,B_window,max_number_of_accumulation,reason_for_stopping_the_accumulation
word width: 3 | bus A window: 4 | bus B window: 13,3,4,1,5,"[0, 7, 14, 21]",[0],4,13,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 5 | bus B window: 13,3,4,1,5,"[0, 8, 16, 24]",[0],5,13,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 6 | bus B window: 13,3,4,1,5,"[0, 9, 18, 27]",[0],6,13,9,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 7 | bus B window: 13,3,3,1,4,"[0, 10, 20]",[0],7,13,19,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 8 | bus B window: 13,3,3,1,4,"[0, 11, 22]",[0],8,13,40,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 9 | bus B window: 13,3,3,1,4,"[0, 12, 24]",[0],9,13,82,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 10 | bus B window: 13,3,3,1,4,"[0, 13, 26]",[0],10,13,166,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 11 | bus B window: 13,3,2,1,3,"[0, 14]",[0],11,13,333,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 12 | bus B window: 5,3,2,2,4,"[0, 15]","[0, 8]",12,5,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 12 | bus B window: 13,3,2,1,3,"[0, 15]",[0],12,13,667,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 13 | bus B window: 5,3,2,2,4,"[0, 16]","[0, 8]",13,5,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 13 | bus B window: 6,3,2,2,4,"[0, 16]","[0, 9]",13,6,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 13 | bus B window: 13,3,2,1,3,"[0, 16]",[0],13,13,1336,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 14 | bus B window: 5,3,2,2,4,"[0, 17]","[0, 8]",14,5,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
