name,width,A_words,B_words,total_words,A_phases,B_phases,A_window,B_window,max_number_of_accumulation,reason_for_stopping_the_accumulation
word width: 4 | bus A window: 5 | bus B window: 11,4,3,1,4,"[0, 9, 18]",[0],5,11,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 6 | bus B window: 11,4,3,1,4,"[0, 10, 20]",[0],6,11,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 7 | bus B window: 11,4,3,1,4,"[0, 11, 22]",[0],7,11,8,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 8 | bus B window: 11,4,3,1,4,"[0, 12, 24]",[0],8,11,17,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 9 | bus B window: 11,4,3,1,4,"[0, 13, 26]",[0],9,11,35,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 10 | bus B window: 11,4,2,1,3,"[0, 14]",[0],10,11,71,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 11 | bus B window: 11,4,2,1,3,"[0, 15]",[0],11,11,144,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 12 | bus B window: 11,4,2,1,3,"[0, 16]",[0],12,11,290,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 13 | bus B window: 11,4,2,1,3,"[0, 17]",[0],13,11,581,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 14 | bus B window: 5,4,2,2,4,"[0, 18]","[0, 9]",14,5,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 14 | bus B window: 11,4,2,1,3,"[0, 18]",[0],14,11,1164,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 15 | bus B window: 5,4,2,2,4,"[0, 19]","[0, 9]",15,5,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 15 | bus B window: 6,4,2,2,4,"[0, 19]","[0, 10]",15,6,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 15 | bus B window: 11,4,2,1,3,"[0, 19]",[0],15,11,2329,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 16 | bus B window: 5,4,2,2,4,"[0, 20]","[0, 9]",16,5,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 16 | bus B window: 6,4,2,2,4,"[0, 20]","[0, 10]",16,6,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 16 | bus B window: 7,4,2,2,4,"[0, 20]","[0, 11]",16,7,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 16 | bus B window: 11,4,2,1,3,"[0, 20]",[0],16,11,4659,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 17 | bus B window: 5,4,2,2,4,"[0, 21]","[0, 9]",17,5,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 17 | bus B window: 6,4,2,2,4,"[0, 21]","[0, 10]",17,6,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 17 | bus B window: 7,4,2,2,4,"[0, 21]","[0, 11]",17,7,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 17 | bus B window: 8,4,2,2,4,"[0, 21]","[0, 12]",17,8,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 17 | bus B window: 11,4,2,1,3,"[0, 21]",[0],17,11,9319,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 18 | bus B window: 5,4,2,2,4,"[0, 22]","[0, 9]",18,5,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 18 | bus B window: 6,4,2,2,4,"[0, 22]","[0, 10]",18,6,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 18 | bus B window: 7,4,2,2,4,"[0, 22]","[0, 11]",18,7,8,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 18 | bus B window: 8,4,2,2,4,"[0, 22]","[0, 12]",18,8,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 18 | bus B window: 9,4,2,2,4,"[0, 22]","[0, 13]",18,9,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 18 | bus B window: 11,4,2,1,3,"[0, 22]",[0],18,11,+10000,more than 10000 accumulations
word width: 4 | bus A window: 19 | bus B window: 5,4,2,2,4,"[0, 23]","[0, 9]",19,5,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 19 | bus B window: 6,4,2,2,4,"[0, 23]","[0, 10]",19,6,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 19 | bus B window: 7,4,2,2,4,"[0, 23]","[0, 11]",19,7,8,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 19 | bus B window: 8,4,2,2,4,"[0, 23]","[0, 12]",19,8,8,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 19 | bus B window: 9,4,2,2,4,"[0, 23]","[0, 13]",19,9,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 19 | bus B window: 10,4,2,2,4,"[0, 23]","[0, 14]",19,10,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 19 | bus B window: 11,4,2,1,3,"[0, 23]",[0],19,11,+10000,more than 10000 accumulations
word width: 4 | bus A window: 20 | bus B window: 5,4,2,2,4,"[0, 24]","[0, 9]",20,5,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 20 | bus B window: 6,4,2,2,4,"[0, 24]","[0, 10]",20,6,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 20 | bus B window: 7,4,2,2,4,"[0, 24]","[0, 11]",20,7,8,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 20 | bus B window: 8,4,2,2,4,"[0, 24]","[0, 12]",20,8,17,Overflow in bus O: A word is located outside the bus O
word width: 4 | bus A window: 20 | bus B window: 9,4,2,2,4,"[0, 24]","[0, 13]",20,9,8,Overflow in bus O: A word is located outside the bus O
word width: 4 | bus A window: 20 | bus B window: 10,4,2,2,4,"[0, 24]","[0, 14]",20,10,3,Overflow in bus O: A word is located outside the bus O
word width: 4 | bus A window: 20 | bus B window: 11,4,2,1,3,"[0, 24]",[0],20,11,+10000,more than 10000 accumulations
word width: 4 | bus A window: 21 | bus B window: 5,4,2,2,4,"[0, 25]","[0, 9]",21,5,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 21 | bus B window: 6,4,2,2,4,"[0, 25]","[0, 10]",21,6,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 21 | bus B window: 7,4,2,2,4,"[0, 25]","[0, 11]",21,7,8,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 21 | bus B window: 8,4,2,2,4,"[0, 25]","[0, 12]",21,8,8,Overflow in bus O: A word is located outside the bus O
word width: 4 | bus A window: 21 | bus B window: 9,4,2,2,4,"[0, 25]","[0, 13]",21,9,3,Overflow in bus O: A word is located outside the bus O
word width: 4 | bus A window: 21 | bus B window: 10,4,2,2,4,"[0, 25]","[0, 14]",21,10,1,Overflow in bus O: A word is located outside the bus O
word width: 4 | bus A window: 21 | bus B window: 11,4,2,1,3,"[0, 25]",[0],21,11,+10000,more than 10000 accumulations
word width: 4 | bus A window: 22 | bus B window: 5,4,2,2,4,"[0, 26]","[0, 9]",22,5,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 22 | bus B window: 6,4,2,2,4,"[0, 26]","[0, 10]",22,6,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 22 | bus B window: 7,4,2,2,4,"[0, 26]","[0, 11]",22,7,8,Overflow in bus O: A word is located outside the bus O
word width: 4 | bus A window: 22 | bus B window: 8,4,2,2,4,"[0, 26]","[0, 12]",22,8,3,Overflow in bus O: A word is located outside the bus O
word width: 4 | bus A window: 22 | bus B window: 9,4,2,2,4,"[0, 26]","[0, 13]",22,9,1,Overflow in bus O: A word is located outside the bus O
word width: 4 | bus A window: 22 | bus B window: 11,4,2,1,3,"[0, 26]",[0],22,11,+10000,more than 10000 accumulations
word width: 4 | bus A window: 23 | bus B window: 5,4,1,2,3,[0],"[0, 9]",23,5,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 23 | bus B window: 6,4,1,2,3,[0],"[0, 10]",23,6,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 23 | bus B window: 7,4,1,2,3,[0],"[0, 11]",23,7,8,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 23 | bus B window: 8,4,1,2,3,[0],"[0, 12]",23,8,17,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 4 | bus A window: 23 | bus B window: 9,4,1,2,3,[0],"[0, 13]",23,9,35,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
