name,width,A_words,B_words,total_words,A_phases,B_phases,A_window,B_window,max_number_of_accumulation,reason_for_stopping_the_accumulation
word width: 6 | bus A window: 7 | bus B window: 7,6,2,1,3,"[0, 13]",[0],7,7,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 6 | bus A window: 8 | bus B window: 7,6,2,1,3,"[0, 14]",[0],8,7,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 6 | bus A window: 9 | bus B window: 7,6,2,1,3,"[0, 15]",[0],9,7,7,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 6 | bus A window: 10 | bus B window: 7,6,2,1,3,"[0, 16]",[0],10,7,15,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 6 | bus A window: 11 | bus B window: 7,6,2,1,3,"[0, 17]",[0],11,7,32,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 6 | bus A window: 12 | bus B window: 7,6,2,1,3,"[0, 18]",[0],12,7,65,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 6 | bus A window: 13 | bus B window: 7,6,2,1,3,"[0, 19]",[0],13,7,131,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 6 | bus A window: 14 | bus B window: 7,6,2,1,3,"[0, 20]",[0],14,7,263,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 6 | bus A window: 15 | bus B window: 7,6,2,1,3,"[0, 21]",[0],15,7,527,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 6 | bus A window: 16 | bus B window: 7,6,2,1,3,"[0, 22]",[0],16,7,1055,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 6 | bus A window: 17 | bus B window: 7,6,2,1,3,"[0, 23]",[0],17,7,2112,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 6 | bus A window: 18 | bus B window: 7,6,2,1,3,"[0, 24]",[0],18,7,4226,Overflow in bus O: A word is located outside the bus O
word width: 6 | bus A window: 19 | bus B window: 7,6,1,1,2,[0],[0],19,7,+10000,more than 10000 accumulations
