name,A_words,B_words,A_phases,B_phases,A_window,max_number_of_accumulation,log
word width: 7 | phase: 7 | bus A window: 0,4,1,"[0, 7, 14, 21]",0,0,-1,Overflow in bus O: case 2
word width: 7 | phase: 8 | bus A window: 1,3,1,"[0, 8, 16]",0,1,-1,Overflow in bus O: case 2
word width: 7 | phase: 9 | bus A window: 2,3,1,"[0, 9, 18]",0,2,-1,Overflow in bus O: case 2
word width: 7 | phase: 10 | bus A window: 3,3,1,"[0, 10, 20]",0,3,-1,Overflow in bus O: case 2
word width: 7 | phase: 11 | bus A window: 4,3,1,"[0, 11, 22]",0,4,-1,Overflow in bus O: case 2
word width: 7 | phase: 12 | bus A window: 5,2,1,"[0, 12]",0,5,-1,Overflow in bus O: case 2
word width: 7 | phase: 13 | bus A window: 6,2,1,"[0, 13]",0,6,-1,Overflow in bus O: case 5
word width: 7 | phase: 14 | bus A window: 7,2,1,"[0, 14]",0,7,0,Overflow in bus O: case 5
word width: 7 | phase: 15 | bus A window: 8,2,1,"[0, 15]",0,8,1,Overflow in bus O: case 5
word width: 7 | phase: 16 | bus A window: 9,2,1,"[0, 16]",0,9,3,Overflow in bus O: case 5
word width: 7 | phase: 17 | bus A window: 10,2,1,"[0, 17]",0,10,7,Overflow in bus O: case 5
word width: 7 | phase: 18 | bus A window: 11,2,1,"[0, 18]",0,11,15,Overflow in bus O: case 5
word width: 7 | phase: 19 | bus A window: 12,2,1,"[0, 19]",0,12,31,Overflow in bus O: case 5
word width: 7 | phase: 20 | bus A window: 13,2,1,"[0, 20]",0,13,64,Overflow in bus O: case 5
word width: 7 | phase: 21 | bus A window: 14,2,1,"[0, 21]",0,14,129,Overflow in bus O: case 5
word width: 7 | phase: 22 | bus A window: 15,2,1,"[0, 22]",0,15,259,Overflow in bus O: case 5
word width: 7 | phase: 23 | bus A window: 16,2,1,"[0, 23]",0,16,519,Overflow in bus O: case 5
